Cartridge (Wb + type),MV (fps),V @ 200 yds,ME (ft lb),E @ 200 yds,Bullet Weight (grains),Bullet Weight (grams),Bullet Type,MV (mps)
6.5mm Rem. Mag. (129 SP),3100,2674.0,2752,2048.0,129.0,8.35905939,SP,944.88
6.5x65 RWS (129 BTSP),3200,2799.0,2933,2244.0,129.0,8.35905939,BTSP,975.36
6.5x65R RWS (100 SP),3400,2841.0,2566,1792.0,100.0,6.479891,SP,1036.3200000000002
6.5x68 S (140 Sp),2990,2580.0,2779,2069.0,140.0,9.0718474,Sp,911.3520000000001
.264 Win. Mag. (140 Sp),3030,2548.0,2854,2018.0,140.0,9.0718474,Sp,923.5440000000001
6.8mm Rem. SPC (115 Sp),2625,2058.0,1759,1082.0,115.0,7.45187465,Sp,800.1
6.8mm Rem. SPC (120 BT),2700,2145.0,1941,1195.0,120.0,7.7758692,BT,822.96
.270 Win. (130 Sp),3060,2639.0,2702,2009.0,130.0,8.423858300000001,Sp,932.6880000000001
.270 Win. (140 Sp),3100,2620.0,2990,2140.0,140.0,9.0718474,Sp,944.88
.270 Win. (150 Sp),2850,2183.0,2705,1587.0,150.0,9.7198365,Sp,868.6800000000001
.270 WSM (130 SpBT),3275,2820.0,3096,2295.0,130.0,8.423858300000001,SpBT,998.22
.270 WSM (150 Sp),3150,2601.0,3304,2252.0,150.0,9.7198365,Sp,960.12
.270 Wby. Mag. (130 Sp),3375,2982.0,3288,2415.0,130.0,8.423858300000001,Sp,1028.7
.270 Wby. Mag. (150 Sp),3245,2823.0,3502,2655.0,150.0,9.7198365,Sp,989.076
7x33 Sako (78 RN),2430,1500.0,1029,392.0,78.0,5.05431498,RN,740.664
7-30 Waters (120 FP),2700,1930.0,1940,990.0,120.0,7.7758692,FP,822.96
7x57 Mauser (140 Sp),2660,2260.0,2200,1585.0,140.0,9.0718474,Sp,810.768
7x57 Mauser (150 Sp),2690,2278.0,2411,1729.0,150.0,9.7198365,Sp,819.912
7mm-08 Rem. (120 SpHP),3000,2467.0,2398,1621.0,120.0,7.7758692,SpHP,914.4000000000001
7mm-08 Rem. (140 Sp),2860,2402.0,2542,1793.0,140.0,9.0718474,Sp,871.7280000000001
7x64 Brenneke (154 Sp),2821,2399.0,2722,1969.0,154.0,9.979032140000001,Sp,859.8408000000001
7x65R (170 Sp),2625,2167.0,2602,1773.0,170.0,11.0158147,Sp,800.1
.280 Ross (140 SP),2900,2440.0,2617,1840.0,140.0,9.0718474,SP,883.9200000000001
.284 Win. (150 Sp),2860,2344.0,2724,1830.0,150.0,9.7198365,Sp,871.7280000000001
.280 Rem. (140 Sp),3000,2528.0,2797,1986.0,140.0,9.0718474,Sp,914.4000000000001
.280 Rem. (160 Sp),2890,2425.0,2967,2089.0,160.0,10.3678256,Sp,880.8720000000001
7mm Rem. SAUM (150 Sp),3110,2563.0,3221,2188.0,150.0,9.7198365,Sp,947.928
7mm WSM (150 Sp),3200,2648.0,3410,2335.0,150.0,9.7198365,Sp,975.36
.275 H&H Mag. (160 Sp),2700,2271.0,2600,1832.0,160.0,10.3678256,Sp,822.96
.275 H&H Mag. (160 Sp),3050,2658.0,3305,2509.0,160.0,10.3678256,Sp,929.6400000000001
7x61 S&H Mag. (154 SP),3000,2572.0,3077,2262.0,154.0,9.979032140000001,SP,914.4000000000001
7mm Rem. Mag. (150 SpBT),3110,2751.0,3221,2520.0,150.0,9.7198365,SpBT,947.928
7mm Rem. Mag. (175 Sp),2860,2440.0,3178,2313.0,175.0,11.33980925,Sp,871.7280000000001
7mm Wby. Mag. (150 SpBT),3300,2896.0,3627,2793.0,150.0,9.7198365,SpBT,1005.84
